ThemeName,ThemeDescription,Bg,Bg_A,Surface,Surface_A,SurfaceAlt,SurfaceAlt_A,SurfaceGlass,SurfaceGlass_A,SurfaceGlassStrong,SurfaceGlassStrong_A,Primary,Primary_A,Secondary,Secondary_A,CTA,CTA_A,TextPrimary,TextPrimary_A,TextSecondary,TextSecondary_A,Border,Border_A,BorderGlass,BorderGlass_A,Overlay,Overlay_A
Light_Airline,浅色通用主题｜配色：背景 #FAF5FF｜主色 #7C3AED｜辅色 #A78BFA｜主按钮 #06B6D4｜文字 #1E1B4B｜边框 #DDD6FE, #FAF5FF,1.0, #FFFFFF,1.0, #EAE4FE,1.0,,,,, #7C3AED,1.0, #A78BFA,1.0, #06B6D4,1.0, #1E1B4B,1.0, #4E4B73,1.0, #DDD6FE,1.0,,, #0F172A,0.55
Light_Analytics_Dashboard,浅色数据看板主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Architecture_Interior,浅色通用主题｜配色：背景 #FFFFFF｜主色 #171717｜辅色 #404040｜主按钮 #D4AF37｜文字 #171717｜边框 #E5E5E5, #FFFFFF,1.0, #FFFFFF,1.0, #F1F1F1,1.0,,,,, #171717,1.0, #404040,1.0, #D4AF37,1.0, #171717,1.0, #4A4A4A,1.0, #E5E5E5,1.0,,, #0F172A,0.55
Light_Automotive_Car_Dealership,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_B2B_Service,浅色企业服务主题｜配色：背景 #F8FAFC｜主色 #0F172A｜辅色 #334155｜主按钮 #0369A1｜文字 #020617｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #0F172A,1.0, #334155,1.0, #0369A1,1.0, #020617,1.0, #383C49,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Bakery_Cafe,浅色烘焙/咖啡主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Banking_Traditional_Finance,浅色传统金融主题｜配色：背景 #F0FDFA｜主色 #0F766E｜辅色 #14B8A6｜主按钮 #0369A1｜文字 #134E4A｜边框 #99F6E4, #F0FDFA,1.0, #FFFFFF,1.0, #C0F9EE,1.0,,,,, #0F766E,1.0, #14B8A6,1.0, #0369A1,1.0, #134E4A,1.0, #447571,1.0, #99F6E4,1.0,,, #0F172A,0.55
Light_Beauty_Spa_Wellness_Service,浅色美业/养生主题｜配色：背景 #ECFDF5｜主色 #10B981｜辅色 #34D399｜主按钮 #8B5CF6｜文字 #064E3B｜边框 #A7F3D0, #ECFDF5,1.0, #FFFFFF,1.0, #C6F8E1,1.0,,,,, #10B981,1.0, #34D399,1.0, #8B5CF6,1.0, #064E3B,1.0, #397564,1.0, #A7F3D0,1.0,,, #0F172A,0.55
Light_Biohacking_Longevity,浅色生物黑客/抗衰主题｜配色：背景 #F5F5F7｜主色 #FF4D4D｜辅色 #4D94FF｜主按钮 #00E676｜文字 #1C1C1E｜边框 #E5E5EA, #F5F5F7,1.0, #FFFFFF,1.0, #ECECF0,1.0,,,,, #FF4D4D,1.0, #4D94FF,1.0, #00E676,1.0, #1C1C1E,1.0, #4C4C4E,1.0, #E5E5EA,1.0,,, #0F172A,0.55
Light_Biotech_Life_Sciences,浅色生物科技主题｜配色：背景 #F8FAFC｜主色 #0EA5E9｜辅色 #0284C7｜主按钮 #10B981｜文字 #0F172A｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #0EA5E9,1.0, #0284C7,1.0, #10B981,1.0, #0F172A,1.0, #424958,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Brewery_Winery,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Childcare_Daycare,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Church_Religious_Organization,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Cleaning_Service,浅色服务主题｜配色：背景 #F8FAFC｜ 主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Climate_Tech,浅色气候科技主题｜配色：背景 #F0FFF4｜主色 #2E8B57｜辅色 #87CEEB｜主按钮 #FFD700｜文字 #1A3320｜边框 #C6E6C6, #F0FFF4,1.0, #FFFFFF,1.0, #D9F1DB,1.0,,,,, #2E8B57,1.0, #87CEEB,1.0, #FFD700,1.0, #1A3320,1.0, #49604F,1.0, #C6E6C6,1.0,,, #0F172A,0.55
Light_Coding_Bootcamp,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Coffee_Shop,浅色咖啡店主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Conference_Webinar_Platform,浅色平台主题｜配色：背景 #F8FAFC｜主色 #0F172A｜辅色 #334155｜主按钮 #0369A1｜文字 #020617｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #0F172A,1.0, #334155,1.0, #0369A1,1.0, #020617,1.0, #383C49,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Construction_Architecture,浅色建筑行业主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Consulting_Firm,浅色咨询主题｜配色：背景 #F8FAFC｜主色 #0F172A｜辅色 #334155｜主按钮 #0369A1｜文字 #020617｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #0F172A,1.0, #334155,1.0, #0369A1,1.0, #020617,1.0, #383C49,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Coworking_Space,浅色联合办公主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Creative_Agency,浅色创意机构主题｜配色：背景 #FDF2F8｜主色 #EC4899｜辅色 #F472B6｜主按钮 #06B6D4｜文字 #831843｜边框 #FBCFE8, #FDF2F8,1.0, #FFFFFF,1.0, #FCDFEF,1.0,,,,, #EC4899,1.0, #F472B6,1.0, #06B6D4,1.0, #831843,1.0, #9E486B,1.0, #FBCFE8,1.0,,, #0F172A,0.55
Light_Creator_Economy_Platform,浅色平台主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Dating_App,浅色社交/约会主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Default_SaaS,浅色软件服务主题｜配色：背景 #F8FAFC｜主色 #2563EB｜辅色 #3B82F6｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #F1F5F9,1.0,,,,, #2563EB,1.0, #3B82F6,1.0, #F97316,1.0, #1E293B,1.0, #475569,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Dental_Practice,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Design_System_Component_Library,浅色设计系统主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Digital_Products_Downloads,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_EV_Charging_Ecosystem,浅色充电生态主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_E_commerce,浅色电商主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_E_commerce_Luxury,浅色电商主题｜配色：背景 #FAFAF9｜主色 #1C1917｜辅色 #44403C｜主按钮 #CA8A04｜文字 #0C0A09｜边框 #D6D3D1, #FAFAF9,1.0, #FFFFFF,1.0, #E6E5E3,1.0,,,,, #1C1917,1.0, #44403C,1.0, #CA8A04,1.0, #0C0A09,1.0, #403F3E,1.0, #D6D3D1,1.0,,, #0F172A,0.55
Light_Educational_App,浅色应用主题｜配色：背景 #EEF2FF｜主色 #4F46E5｜辅色 #818CF8｜主按钮 #F97316｜文字 #1E1B4B｜边框 #C7D2FE, #EEF2FF,1.0, #FFFFFF,1.0, #D9E0FE,1.0,,,,, #4F46E5,1.0, #818CF8,1.0, #F97316,1.0, #1E1B4B,1.0, #4C4A73,1.0, #C7D2FE,1.0,,, #0F172A,0.55
Light_Event_Management,浅色通用主题｜配色：背景 #FAF5FF｜主色 #7C3AED｜辅色 #A78BFA｜主按钮 #F97316｜文字 #4C1D95｜边框 #DDD6FE, #FAF5FF,1.0, #FFFFFF,1.0, #EAE4FE,1.0,,,,, #7C3AED,1.0, #A78BFA,1.0, #F97316,1.0, #4C1D95,1.0, #724DAC,1.0, #DDD6FE,1.0,,, #0F172A,0.55
Light_Financial_Dashboard,浅色看板主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Fitness_Gym_App,浅色健身主题｜配色：背景 #FEF2F2｜主色 #DC2626｜辅色 #F87171｜主按钮 #16A34A｜文字 #1F2937｜边框 #FECACA, #FEF2F2,1.0, #FFFFFF,1.0, #FEDCDC,1.0,,,,, #DC2626,1.0, #F87171,1.0, #16A34A,1.0, #1F2937,1.0, #505560,1.0, #FECACA,1.0,,, #0F172A,0.55
Light_Florist_Plant_Shop,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Freelancer_Platform,浅色平台主题｜配色：背景 #F8FAFC｜主色 #0F172A｜辅色 #334155｜主按钮 #0369A1｜文字 #020617｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #0F172A,1.0, #334155,1.0, #0369A1,1.0, #020617,1.0, #383C49,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Generative_AI_Art,浅色人工智能主题｜配色：背景 #FAFAFA｜主色 #111111｜辅色 #333333｜主按钮 #FFFFFF｜文字 #000000｜边框 #E5E5E5, #FAFAFA,1.0, #FFFFFF,1.0, #EEEEEE,1.0,,,,, #111111,1.0, #333333,1.0, #FFFFFF,1.0, #000000,1.0, #373737,1.0, #E5E5E5,1.0,,, #0F172A,0.55
Light_Government_Public_Service,浅色政务/公共服务主题｜配色：背景 #F8FAFC｜主色 #0F172A｜辅色 #334155｜主按钮 #0369A1｜文字 #020617｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #0F172A,1.0, #334155,1.0, #0369A1,1.0, #020617,1.0, #383C49,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Healthcare_App,浅色医疗健康主题｜配色：背景 #ECFEFF｜主色 #0891B2｜辅色 #22D3EE｜主按钮 #059669｜文字 #164E63｜边框 #A5F3FC, #ECFEFF,1.0, #FFFFFF,1.0, #C5F8FD,1.0,,,,, #0891B2,1.0, #22D3EE,1.0, #059669,1.0, #164E63,1.0, #457585,1.0, #A5F3FC,1.0,,, #0F172A,0.55
Light_Home_Services_Plumber_Electrician,浅色通用主题｜配色：背景 #F8FAFC｜主色 #0F172A｜辅色 #334155｜主按钮 #0369A1｜文字 #020617｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #0F172A,1.0, #334155,1.0, #0369A1,1.0, #020617,1.0, #383C49,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Hotel_Hospitality,浅色酒店/文旅主题｜配色：背景 #F8FAFC｜主色 #1E3A8A｜辅色 #3B82F6｜主按钮 #CA8A04｜文字 #1E40AF｜边框 #BFDBFE, #F8FAFC,1.0, #FFFFFF,1.0, #D9E9FD,1.0,,,,, #1E3A8A,1.0, #3B82F6,1.0, #CA8A04,1.0, #1E40AF,1.0, #4E69C0,1.0, #BFDBFE,1.0,,, #0F172A,0.55
Light_Hyperlocal_Services,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Insurance_Platform,浅色保险主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Job_Board_Recruitment,浅色通用主题｜配色：背景 #F8FAFC｜主色 #0F172A｜辅色 #334155｜主按钮 #0369A1｜文字 #020617｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #0F172A,1.0, #334155,1.0, #0369A1,1.0, #020617,1.0, #383C49,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Knowledge_Base_Documentation,浅色知识库/文档主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Language_Learning_App,浅色语言学习主题｜配色：背景 #F0FDFA｜主色 #0D9488｜辅色 #2DD4BF｜主按钮 #EA580C｜文字 #134E4A｜边框 #5EEAD4, #F0FDFA,1.0, #FFFFFF,1.0, #A0F3E5,1.0,,,,, #0D9488,1.0, #2DD4BF,1.0, #EA580C,1.0, #134E4A,1.0, #447571,1.0, #5EEAD4,1.0,,, #0F172A,0.55
Light_Legal_Services,浅色通用主题｜配色：背景 #F8FAFC｜主色 #1E3A8A｜辅色 #1E40AF｜主按钮 #B45309｜文字 #0F172A｜边框 #CBD5E1, #F8FAFC,1.0, #FFFFFF,1.0, #DFE6ED,1.0,,,,, #1E3A8A,1.0, #1E40AF,1.0, #B45309,1.0, #0F172A,1.0, #424958,1.0, #CBD5E1,1.0,,, #0F172A,0.55
Light_Logistics_Delivery,浅色物流配送主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Luxury_Premium_Brand,浅色通用主题｜配色：背景 #FAFAF9｜主色 #1C1917｜辅色 #44403C｜主按钮 #CA8A04｜文字 #0C0A09｜边框 #D6D3D1, #FAFAF9,1.0, #FFFFFF,1.0, #E6E5E3,1.0,,,,, #1C1917,1.0, #44403C,1.0, #CA8A04,1.0, #0C0A09,1.0, #403F3E,1.0, #D6D3D1,1.0,,, #0F172A,0.55
Light_Magazine_Blog,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Marketing_Agency,浅色通用主题｜配色：背景 #FDF2F8｜主色 #EC4899｜辅色 #F472B6｜主按钮 #06B6D4｜文字 #831843｜边框 #FBCFE8, #FDF2F8,1.0, #FFFFFF,1.0, #FCDFEF,1.0,,,,, #EC4899,1.0, #F472B6,1.0, #06B6D4,1.0, #831843,1.0, #9E486B,1.0, #FBCFE8,1.0,,, #0F172A,0.55
Light_Marketplace_P2P,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
Light_Medical_Clinic,浅色通用主题｜配色：背景 #F8FAFC｜主色 #3B82F6｜辅色 #60A5FA｜主按钮 #F97316｜文字 #1E293B｜边框 #E2E8F0, #F8FAFC,1.0, #FFFFFF,1.0, #ECF0F5,1.0,,,,, #3B82F6,1.0, #60A5FA,1.0, #F97316,1.0, #1E293B,1.0, #4E5765,1.0, #E2E8F0,1.0,,, #0F172A,0.55
